doc_id,category,subcategory,risk_level,confidence,citation,explanation
doc_000,G,"conseil_administration, remuneration, transparence",eleve,0.8,Le directeur financier a exercé des stock-options 3 jours avant l'annonce de résultats records,Cette mention est ESG car elle concerne la gouvernance et le niveau de risque est élevé car il y a une enquête pour déli
doc_000,S,conditions_travail,modere,0.7,Trois plaintes pour discrimination à l'embauche ont été déposées contre la filiale américaine.,Cette mention est ESG car elle concerne les conditions de travail et le niveau de risque est modéré car il y a des plain
doc_001,E,energie,faible,0.95,La société a investi 45 millions d'euros dans des panneaux solaires couvrant désormais 23% de ses be...,L'investissement dans les panneaux solaires permet à la société de réduire ses émissions de CO2 et d'utiliser plus d'éne
doc_001,E,emissions_carbone,modere,0.85,Des émissions de méthane ont toutefois été détectées sur le site de Toulouse.,Les émissions de méthane peuvent avoir un impact notable sur l'environnement et la santé humaine. Bien que l'enquête int
doc_002,E,emissions_carbone,eleve,0.9,"L'entreprise a émis 2,3 millions de tonnes de CO2 équivalent en 2024, soit une augmentation de 15% p...","La mention ESG concerne les émissions de carbone de l'entreprise qui ont augmenté de 15%, ce qui représente un niveau de"
doc_002,G,transparence,modere,0.8,Aucun plan de réduction n'a été présenté aux actionnaires.,"La mention ESG concerne la transparence envers les actionnaires, car aucun plan de réduction des émissions de carbone n'"
doc_002,E,transition_energies,eleve,0.9,Les installations de production continuent d'utiliser principalement des combustibles fossiles (87% ...,"La mention ESG concerne la transition vers les énergies renouvelables, car l'entreprise continue d'utiliser principaleme"
doc_003,E,emissions_carbone,eleve,0.9,L'entreprise n'a pas divulgué ses données d'émissions carbone dans son rapport annuel,L'absence de révélation des émissions de carbone par l'entreprise est un signe d'un niveau élevé de risque environnement
doc_003,G,transparence,eleve,0.8,Le commissaire aux comptes a émis une réserve sur l'évaluation des actifs environnementaux,"La réserve du commissaire aux comptes indique un niveau élevé de risque de gouvernance, car elle suggère que les pratiqu"
doc_003,G,conseil_administration,eleve,0.8,Le conseil d'administration n'inclut aucun expert en matière climatique,L'absence de conseiller en matière climatique dans le conseil d'administration indique un niveau élevé de risque de gouv
doc_004,S,conditions_travail,modere,0.9,"Le taux d'accidents du travail est de 3,2 pour 1000 employés, supérieur à la moyenne sectorielle de ...",La mention concerne les conditions de travail et le niveau de risque est modéré car le taux d'accidents est supérieur à 
doc_004,S,parite_femme-homme,eleve,1.0,"La parité femme-homme dans les postes d'encadrement reste à 28%, en-deçà de l'objectif de 40% fixé p...",La mention concerne la diversité et le niveau de risque est élevé car le taux de parité femme-homme n'a pas atteint l'ob
doc_005,S,conditions_travail,critique,1.0,Des enfants de moins de 15 ans ont été identifiés parmi les employés.,Cette mention est ESG car elle concerne des conditions de travail dangereuses pour la catégorie S. Le niveau de risque e
doc_006,S,conditions_travail,critique,1.0,Des enfants de moins de 15 ans ont été identifiés parmi les employés.,Cette mention est ESG car elle concerne des conditions de travail dangereuses pour la catégorie S. Le niveau de risque e
doc_007,E,emissions_carbone,faible,1.0,Notre programme de compensation carbone certifié Gold Standard nous a permis d'atteindre la neutrali...,La mention 'neutralité carbone' est ESG car elle concerne l'environnement. Le niveau de risque est faible car le program
doc_007,E,eau,faible,1.0,Le ratio d'intensité hydrique a baissé de 30% grâce au recyclage des eaux de process.,La mention 'ratio d'intensité hydrique' est ESG car elle concerne l'environnement. Le niveau de risque est faible car le
doc_007,E,energie,faible,1.0,L'ensemble de notre chaîne logistique est désormais alimenté par des flottes électriques.,La mention 'flottes électriques' est ESG car elle concerne l'environnement. Le niveau de risque est faible car la transi
doc_008,E,emissions_carbone,modere,0.8,L'entreprise n'a pas divulgué ses données d'émissions carbone dans son rapport annuel,"L'absence de révélation des émissions de carbone par l'entreprise est un signe de gestion partielle, ce qui correspond à"
doc_008,G,conseil_administration,eleve,0.9,Le conseil d'administration n'inclut aucun expert en matière climatique.,L'absence de conseillers ayant des compétences en matière climatique dans le conseil d'administration peut indiquer une 
doc_009,E,energie,faible,0.95,La société a investi 45 millions d'euros dans des panneaux solaires couvrant désormais 23% de ses be...,L'investissement dans les panneaux solaires permet à la société de réduire ses émissions de CO2 et d'utiliser plus d'éne
doc_009,E,emissions_carbone,modere,0.85,Des émissions de méthane ont toutefois été détectées sur le site de Toulouse.,Les émissions de méthane peuvent avoir un impact notable sur l'environnement et la santé humaine. Bien que l'enquête int
doc_010,G,"conseil_administration, remuneration, transparence",eleve,0.8,Le directeur financier a exercé des stock-options 3 jours avant l'annonce de résultats records,Cette mention est ESG car elle concerne la gouvernance et le niveau de risque est élevé car il y a une enquête pour déli
doc_010,S,conditions_travail,modere,0.7,Trois plaintes pour discrimination à l'embauche ont été déposées contre la filiale américaine.,Cette mention est ESG car elle concerne les conditions de travail et le niveau de risque est modéré car il y a des plain
doc_011,E,emissions_carbone,modere,0.8,L'entreprise n'a pas divulgué ses données d'émissions carbone dans son rapport annuel,"L'absence de révélation des émissions de carbone par l'entreprise est un signe de gestion partielle, ce qui correspond à"
doc_011,G,conseil_administration,eleve,0.9,Le conseil d'administration n'inclut aucun expert en matière climatique.,L'absence de conseillers ayant des compétences en matière climatique dans le conseil d'administration peut indiquer une 
doc_012,G,conseil_dadministration,faible,0.95,La structure de gouvernance a été renforcée : 58% d'administrateurs indépendants,Cette mention est ESG car elle concerne la gouvernance. Le niveau de risque est faible car il y a un taux élevé d'admini
doc_012,G,transparence,faible,0.95,un comité d'audit entièrement indépendant,Cette mention est ESG car elle concerne la gouvernance. Le niveau de risque est faible car il y a un comité d'audit indé
doc_012,G,transparence,faible,0.95,et une politique Say-on-Pay approuvée à 94%,Cette mention est ESG car elle concerne la gouvernance. Le niveau de risque est faible car il y a une politique Say-on-P
doc_012,G,rémunération,faible,0.95,Les objectifs ESG représentent désormais 30% de la rémunération variable des dirigeants,Cette mention est ESG car elle concerne la gouvernance. Le niveau de risque est faible car il y a un taux modéré d'intég
doc_013,E,energie,faible,0.95,La société a investi 45 millions d'euros dans des panneaux solaires couvrant désormais 23% de ses be...,L'investissement dans les panneaux solaires permet à la société de réduire ses émissions de CO2 et d'utiliser plus d'éne
doc_013,E,emissions_carbone,modere,0.85,Des émissions de méthane ont toutefois été détectées sur le site de Toulouse.,Les émissions de méthane peuvent avoir un impact notable sur l'environnement et la santé humaine. Bien que l'enquête int
doc_014,E,emissions_carbone,eleve,0.9,La fermeture de l'usine de Dunkerque libère 120 000 tonnes de CO2 annuellement,"L'émission de CO2 est un impact environnemental majeur, et la quantité élevée indiquée dans le texte suggère un risque é"
doc_014,S,conditions_travail,modere,0.8,l'entreprise propose un plan de reconversion de 18 mois mais les syndicats contestent l'insuffisance...,Le conflit entre l'entreprise et les syndicats sur les conditions de travail (indemnités) indique un risque notable.
doc_014,E,pollution,critique,1.0,"Parallèlement, les rejets de métaux lourds dans la rivière voisine ont dépassé les seuils légaux en ...","Les rejets illégaux de métaux lourds dans une rivière sont un impact environnemental majeur et non géré, ce qui indique "
doc_015,G,"conseil_administration, remuneration",élevé,0.95,"Le PDG cumule les fonctions de Président du Conseil d'Administration depuis 12 ans, en violation des...",La violation des recommandations du Code AFEP-MEDEF sur la séparation des fonctions du PDG et du Président du Conseil d'
doc_015,G,transparence,élevé,0.9,Deux administrateurs indépendants ont démissionné en protestant contre le manque de transparence sur...,Le manque de transparence sur les transactions avec des parties liées est un risque de gouvernance élevé.
doc_015,G,rémunération,élevé,0.85,Sa rémunération a augmenté de 43% alors que les bénéfices chutaient de 18%.,L'augmentation de la rémunération du PDG alors que les bénéfices chutent est un risque de gouvernance élevé.
doc_016,E,emissions_carbone,eleve,0.9,"L'entreprise a émis 2,3 millions de tonnes de CO2 équivalent en 2024, soit une augmentation de 15% p...","La mention ESG concerne les émissions de carbone de l'entreprise qui ont augmenté de 15%, ce qui représente un niveau de"
doc_016,G,transparence,modere,0.8,Aucun plan de réduction n'a été présenté aux actionnaires.,"La mention ESG concerne la transparence envers les actionnaires, car aucun plan de réduction des émissions de carbone n'"
doc_016,E,transition_energies,eleve,0.9,Les installations de production continuent d'utiliser principalement des combustibles fossiles (87% ...,"La mention ESG concerne la transition vers les énergies renouvelables, car l'entreprise continue d'utiliser principaleme"
doc_017,E,emissions_carbone,eleve,0.9,"L'entreprise a émis 2,3 millions de tonnes de CO2 équivalent en 2024, soit une augmentation de 15% p...","La mention ESG concerne les émissions de CO2, qui sont un indicateur important de l'impact environnemental. L'augmentati"
doc_017,E,transition_energies,eleve,0.9,Les installations de production continuent d'utiliser principalement des combustibles fossiles (87% ...,"La mention ESG concerne la transition vers les énergies renouvelables, qui est un indicateur important de l'impact envir"
doc_017,G,transparence,critique,0.9,Aucun plan de réduction n'a été présenté aux actionnaires.,"La mention ESG concerne la transparence, qui est un indicateur important de la gouvernance. L'absence de plan de réducti"
doc_018,E,energie,faible,0.95,La société a investi 45 millions d'euros dans des panneaux solaires couvrant désormais 23% de ses be...,L'investissement dans les panneaux solaires permet à la société de réduire ses émissions de CO2 et d'utiliser plus d'éne
doc_018,E,emissions_carbone,modere,0.85,Des émissions de méthane ont toutefois été détectées sur le site de Toulouse.,Les émissions de méthane peuvent avoir un impact notable sur l'environnement et la santé humaine. Bien que l'enquête int
doc_019,S,conditions_travail,critique,1.0,Des enfants de moins de 15 ans ont été identifiés parmi les employés.,Cette mention est ESG car elle concerne des conditions de travail dangereuses pour la catégorie S. Le niveau de risque e
